,name,size
2,драко,0.3074061845802009
8,малфой,0.3069071131684162
1,гермиона,0.2737107657002029
24,забини,0.24522516226219282
23,блейз,0.24409608611449085
32,тео,0.23522096108957127
0,гарри,0.23217453136445124
11,грейнджер,0.22155168355385116
54,дафна,0.2183529262587174
20,панси,0.21244777511839455
26,пэнси,0.2009482952436655
21,астория,0.19450721964030004
6,поттер,0.19018615490794452
42,паркинсон,0.18795132007415072
3,рон,0.17499146656202108
55,теодор,0.15584644178677806
5,джинни,0.14506996342733933
84,блез,0.1302147754494452
7,северус,0.11386691963494663
4,снейп,0.10961857388778908
49,нотт,0.10601168781988886
19,уизли,0.10351666686819586
47,скорпиус,0.0719954645524055
103,керли,0.07009510275892977
14,люциус,0.0652991851147572
62,трейси,0.062118782479729
93,гринграсс,0.06092618486517185
102,сиэль,0.0576483151629505
58,драко_малфой,0.05302669086481105
63,гриффиндорец,0.05172441112674422
13,невилл,0.048536401425873954
15,джордж,0.04377282439669015
88,блондин,0.04357044127992097
67,гермиона_грейнджер,0.041501197287307036
31,блэк,0.04088382927816715
142,пэнс,0.03915994339252945
45,гарри_поттер,0.03684675023286361
118,лоли,0.035880758162166786
157,эни,0.035880758162166786
37,нарцисса,0.03475651703266447
9,джеймс,0.03465152222334524
51,парвати,0.034114468131842726
130,булстроуд,0.03310590527496219
127,гари,0.032902472081358214
145,панс,0.03246007089974223
38,билл,0.03236683745068535
36,лаванда,0.03228441054771469
43,дин,0.03207337042510507
56,симус,0.03199875284474367
25,альбус,0.03125473784974231
141,люциус_малфой,0.030159996782661586
76,гарольд,0.029956854125960497
12,мальчик,0.029956854125960497
27,маркус,0.027819237266878953
137,миллисент,0.02472182188713275
132,хокинг,0.02459566039864767
153,уизлетта,0.021767557000783713
151,дрей,0.021767557000783713
183,дину,0.021767557000783713
105,северус_снейп,0.02105309121961516
18,профессор,0.020731718526310835
101,рон_уизли,0.019753412568729593
113,рональд,0.019753412568729593
78,кэти,0.019677175352291385
159,миона,0.01941318805878225
160,николь,0.01941318805878225
161,сэль,0.01941318805878225
185,хендрик,0.01941318805878225
162,ромильда,0.01941318805878225
143,герми,0.01941318805878225
79,ульфат,0.01941318805878225
65,софи,0.01941318805878225
83,зельевар,0.01881552019802852
22,ремус,0.018308792113793458
96,гойл,0.017480310147379084
191,блейза,0.01739238639174574
119,гойлом,0.01739238639174574
136,финниган,0.01739238639174574
110,мастер_зелий,0.017322182810001988
16,фред,0.016635113410816076
108,гарриет,0.016467570103384527
165,майю,0.016467570103384527
188,геланор,0.016467570103384527
144,айк,0.016467570103384527
186,ноа,0.016467570103384527
109,джейслин,0.016467570103384527
187,рюу,0.016467570103384527
98,дрейко,0.016467570103384527
77,эмили,0.016467570103384527
29,сириус,0.014342099914947583
167,астория_гринграсс,0.013795201720647186
41,перси,0.012411460317625739
115,рыжик,0.012411460317625739
46,регулус,0.01226945647099917
60,анджелина,0.011469079087646335
95,ханна,0.010341205994575539
182,мэйбл,0.010289184095445261
181,джин,0.010289184095445261
34,декан,0.010188158449455122
66,ал,0.009880539370798134
33,том,0.008880235480485449
99,риддл,0.008556032067875575
173,уизел,0.007341952251103852
48,чарли,0.0054004853359998885
17,директор,0.005377897769587455
177,скорпи,0.005106360762787935
35,макгонагалл,0.004974692264633827
189,лорд_малфой,0.004631445696457618
170,люц,0.004631445696457618
53,близнец,0.004306302348517955
57,марлин,0.004159828406958534
107,сириус_блэк,0.003936997681472707
59,бродяга,0.003917184335466596
90,блэка,0.003917184335466596
10,лили,0.00388879286865495
190,блейз_забини,0.0037609940854202526
28,оливер,0.0037219634558626
125,лонгботтом,0.0034425781635348063
82,эванс,0.0031917590971864453
184,джордж_уизли,0.0031047392677672307
92,верити,0.0031047392677672307
155,римус,0.003102522914761537
30,дамблдор,0.003036487182402142
50,минерва,0.0029280378029518882
40,люпин,0.00285706237384052
73,беллатрикс,0.0027308877491287534
166,миссис_блэк,0.0026999019985438646
100,мальчик-который-выжил,0.002613496259888076
64,вуд,0.002561470727214531
180,дорея,0.0025062275979887048
178,цисси,0.0024650397328850504
176,нарцисса_малфой,0.0024650397328850504
152,друэлла,0.0024650397328850504
80,андромеда,0.0024650397328850504
117,сохатый,0.002457836565480592
156,джеймс_поттер,0.002457836565480592
128,джим,0.002457836565480592
39,флинт,0.002418762487747661
154,лаванда_браун,0.002289819755434733
129,ол,0.0021547751942385253
171,марк,0.0019730989566829316
116,декан_гриффиндора,0.001823681845496729
164,рем,0.0017964608980489906
147,люпина,0.0015013695780639576
120,северуса_снейпа,0.001493337388026531
126,слизнорт,0.001478129163941762
149,снэйп,0.0014706843491946973
44,учитель,0.0014706843491946973
134,помона_спраут,0.0014706843491946973
122,снегг,0.0014706843491946973
85,волдеморт,0.00135728065205816
140,лунатик,0.001298677496450846
97,крэбб,0.0012397538752094673
52,тонкс,0.001226220140726823
175,сири,0.0010173535023181716
86,лорд,0.0007716018812607217
133,директриса,0.0007345948187120668
131,том_риддл,0.0007337750914849514
94,сьюзен,0.0007334605245625961
148,ала,0.0007008386213078358
87,роза,0.0007008386213078358
121,реддл,0.0006846475086623938
71,альбус_дамблдор,0.0006000721355384042
70,старик,0.0005970451024739813
123,вальбурга,0.0005808080735860942
139,дамби,0.0003815973224100348
163,диппет,0.0003815973224100348
81,флитвик,0.00035478775980909516
168,минерва_макгонагалл,0.0003529974963020319
192,близнец_уизли,0.00030545239796432236
106,питер_петтигрю,0.0002792726765193589
61,доркас,0.000275866473686388
114,лили_эванс,0.000275866473686388
89,белла,0.00025261129296817476
169,маккиннон,0.00022640401014809364
104,лестрейндж,0.0002153256913323076
124,лорд_волдеморт,0.00010680193135682787
135,гораций,0.00010487897527846195
179,волан-де-морт,9.629176025207293e-05
150,сами-знаете-кто,9.629176025207293e-05
111,нимфадора,8.699835300341762e-05
91,повелитель,5.892640512392687e-05
138,милорд,5.892640512392687e-05
146,лорду,5.47439393904658e-05
174,альбусом_дамблдором,4.25985656814058e-05
69,рабастан,3.4970420570682276e-05
172,филиус_флитвик,2.5188600271689292e-05
72,родольфус,1.774902730936013e-05
74,мальсибер,2.49207294057768e-06
112,рудольфус,2.49207294057768e-06
68,ойген,2.4795378068705405e-06
75,эйвери,1.7669025509937563e-07
158,руди,1.7669025509937563e-07
